	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3791.27569027644	947.818922569109	190.00313165421	0.267323388603584	0.001
Ethnicity	9	5775.55578301967	641.728420335519	128.643147580088	0.407235260402092	0.001
EducationLevel	4	1664.90048524737	416.225121311842	83.4379591283559	0.117392370210784	0.001
GeoRegion	1	551.186004972938	551.186004972938	110.492694938991	0.0388642036711116	0.001
Residuals	481	2399.43888180455	4.98843842371009	NA	0.169184777112428	NA
Total	499	14182.356845321	NA	NA	1	NA
