	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4508.34336846017	1127.08584211504	213.110107725272	0.283919506862745	0.001
Ethnicity	9	6424.41146526618	713.823496140686	134.970200560682	0.404586693165905	0.001
EducationLevel	4	1819.73839006341	454.934597515854	86.0193229848603	0.114600682357182	0.001
GeoRegion	1	582.567564226576	582.567564226576	110.152245490546	0.0366880430418354	0.001
Residuals	481	2543.88820804413	5.28874887327262	NA	0.160205074572333	NA
Total	499	15878.9489960605	NA	NA	1	NA
