	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3809.52610361924	952.381525904809	196.412606023219	0.266778606721503	0.001
Ethnicity	9	5927.07469381145	658.563854867939	135.817673326265	0.415069141342033	0.001
EducationLevel	4	1607.36372708501	401.840931771253	82.8729059407216	0.112562624311468	0.001
GeoRegion	1	603.451904850843	603.451904850843	124.451764358642	0.042259339881304	0.001
Residuals	481	2332.31218319083	4.84888187773561	NA	0.163330287743692	NA
Total	499	14279.7286125574	NA	NA	1	NA
