	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4960.47649606012	1240.11912401503	238.133045483468	0.316843653534362	0.001
Ethnicity	9	5877.63048428974	653.070053809971	125.405340354977	0.375425610472387	0.001
EducationLevel	4	1806.50632885369	451.626582213423	86.7232924330494	0.115388121649516	0.001
GeoRegion	1	506.408228006447	506.408228006447	97.2427013322957	0.0323461331323441	0.001
Residuals	481	2504.89090012768	5.20767338903883	NA	0.159996481211391	NA
Total	499	15655.9124373377	NA	NA	1	NA
