	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4297.03302794058	1074.25825698515	205.158433240936	0.303348113074257	0.001
Ethnicity	9	5240.45466261285	582.272740290317	111.200600358541	0.369948758414984	0.001
EducationLevel	4	1629.82464185424	407.45616046356	77.8146846454514	0.115057116511241	0.001
GeoRegion	1	479.410238398603	479.410238398603	91.556246135403	0.0338438616275645	0.001
Residuals	481	2518.63017984265	5.23623738013025	NA	0.177802150371954	NA
Total	499	14165.3527506489	NA	NA	1	NA
