	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4298.79177713237	1074.69794428309	205.680729878564	0.287573104656452	0.001
Ethnicity	9	5829.17833316761	647.686481463068	123.957274644894	0.389950245969662	0.001
EducationLevel	4	1858.78418174019	464.696045435047	88.9357072889178	0.124345715201378	0.001
GeoRegion	1	448.501144640019	448.501144640019	85.8362512663659	0.0300030504599457	0.001
Residuals	481	2513.26272279065	5.22507842576018	NA	0.168127883712563	NA
Total	499	14948.5181594708	NA	NA	1	NA
