	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3820.00516903897	955.001292259742	184.34409730072	0.256085793308378	0.001
Ethnicity	9	6153.83642492744	683.759602769716	131.986257782989	0.412541348252678	0.001
EducationLevel	4	1941.85366576509	485.463416441273	93.7091038532855	0.130178131829947	0.001
GeoRegion	1	509.362858738104	509.362858738104	98.3224181512957	0.0341467055644291	0.001
Residuals	481	2491.83797204849	5.18053632442514	NA	0.167048021044567	NA
Total	499	14916.8960905181	NA	NA	1	NA
