	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4129.02683431907	1032.25670857977	189.367658132039	0.278391514628946	0.001
Ethnicity	9	5639.15155702409	626.572395224899	114.944806023271	0.380208704417638	0.001
EducationLevel	4	1879.27574749116	469.818936872789	86.1883590411261	0.126706471704436	0.001
GeoRegion	1	562.306911989812	562.306911989812	103.155292854888	0.0379124377720312	0.001
Residuals	481	2621.96555486084	5.45107183962753	NA	0.176780871476949	NA
Total	499	14831.726605685	NA	NA	1	NA
