	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4103.50657909485	1025.87664477371	191.958296371155	0.266936811532356	0.001
Ethnicity	9	6369.65383360483	707.739314844981	132.429599450037	0.414351738478843	0.001
EducationLevel	4	1756.15747328277	439.039368320693	82.1514454121315	0.114239630772135	0.001
GeoRegion	1	572.665632007216	572.665632007216	107.155104534682	0.0372524169111694	0.001
Residuals	481	2570.59306872607	5.34426833414984	NA	0.167219402305496	NA
Total	499	15372.5765867157	NA	NA	1	NA
