	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	5010.02974053997	1252.50743513499	221.190333624592	0.310399596679314	0.001
Ethnicity	9	6058.5883459281	673.1764828809	118.881634279965	0.375363715669158	0.001
EducationLevel	4	1751.63416842882	437.908542107205	77.333781667581	0.108523615141536	0.001
GeoRegion	1	596.628608628074	596.628608628074	105.363431218432	0.0369645070141908	0.001
Residuals	481	2723.69983998681	5.66257762991022	NA	0.168748565495801	NA
Total	499	16140.5807035118	NA	NA	1	NA
