	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4555.53962195993	1138.88490548998	205.963110649286	0.287698056104292	0.001
Ethnicity	9	6045.3073276132	671.700814179244	121.474600679245	0.381782030458794	0.001
EducationLevel	4	2046.18601465864	511.546503664659	92.5112876890843	0.129223711721732	0.001
GeoRegion	1	527.696781531771	527.696781531771	95.4320055345189	0.033325873740039	0.001
Residuals	481	2659.71725622984	5.52955770525955	NA	0.167970327975143	NA
Total	499	15834.4470019934	NA	NA	1	NA
