	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3663.88824080225	915.972060200561	175.51740387406	0.252890313710209	0.001
Ethnicity	9	5786.13063701713	642.903404113015	123.192334498723	0.399372550633018	0.001
EducationLevel	4	1997.78235395899	499.445588489747	95.7031299064715	0.137891707664857	0.001
GeoRegion	1	530.058646279895	530.058646279895	101.569165194487	0.0365859132518683	0.001
Residuals	481	2510.19301352362	5.21869649381211	NA	0.173259514740048	NA
Total	499	14488.0528915819	NA	NA	1	NA
