	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4405.50001568417	1101.37500392104	222.630535698294	0.309055323707403	0.001
Ethnicity	9	5296.63040586489	588.514489540543	118.96156677441	0.371570041724045	0.001
EducationLevel	4	1724.10175378944	431.025438447359	87.126931262739	0.120949454936989	0.001
GeoRegion	1	448.943267851851	448.943267851851	90.7488183989743	0.0314943380951653	0.001
Residuals	481	2379.5539781836	4.94709766774137	NA	0.166930841536398	NA
Total	499	14254.729421374	NA	NA	1	NA
