	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4162.05165382525	1040.51291345631	194.438285818024	0.292127195455957	0.001
Ethnicity	9	5403.04798587773	600.338665097526	112.183923373042	0.379230578163962	0.001
EducationLevel	4	1553.78701452615	388.446753631538	72.5881629443747	0.109057618848204	0.001
GeoRegion	1	554.495537010605	554.495537010605	103.617322106992	0.0389190811629832	0.001
Residuals	481	2574.01318504162	5.35137876308029	NA	0.180665526368894	NA
Total	499	14247.3953762814	NA	NA	1	NA
