	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4122.48080046085	1030.62020011521	186.546523961411	0.273737962488414	0.001
Ethnicity	9	5604.61176877937	622.734640975486	112.717548725852	0.372153341733634	0.001
EducationLevel	4	2135.19052415294	533.797631038235	96.61958164403	0.141779363421379	0.001
GeoRegion	1	540.271960649949	540.271960649949	97.7914621135867	0.0358747445667678	0.001
Residuals	481	2657.39776720774	5.52473548276037	NA	0.176454587789805	NA
Total	499	15059.9528212509	NA	NA	1	NA
