	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4114.43623694847	1028.60905923712	178.691625075423	0.266123939063543	0.001
Ethnicity	9	5762.76402903793	640.307114337548	111.23518481666	0.372738663326253	0.001
EducationLevel	4	2054.36586361613	513.591465904033	89.2219379589426	0.132877484160183	0.001
GeoRegion	1	760.237933364811	760.237933364811	132.069760164948	0.0491725966332202	0.001
Residuals	481	2768.79768307117	5.7563361394411	NA	0.1790873168168	NA
Total	499	15460.6017460385	NA	NA	1	NA
