	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3776.41066684992	944.10266671248	181.444136056044	0.274120522060819	0.001
Ethnicity	9	5197.013305755	577.445922861667	110.977524253333	0.377238633773619	0.001
EducationLevel	4	1807.29379161353	451.823447903382	86.8345340450764	0.131187087787682	0.001
GeoRegion	1	492.970744825929	492.970744825929	94.7425042313599	0.0357835547703067	0.001
Residuals	481	2502.77243761924	5.2032691010795	NA	0.181670201607573	NA
Total	499	13776.4609466636	NA	NA	1	NA
