	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4189.26505974771	1047.31626493693	196.008522805722	0.281039108085379	0.001
Ethnicity	9	6013.02613605832	668.114015117591	125.03963277691	0.403387104437282	0.001
EducationLevel	4	1644.18205986774	411.045514966934	76.9284569446058	0.110300841089066	0.001
GeoRegion	1	489.780889240432	489.780889240432	91.6640291118474	0.0328572153602724	0.001
Residuals	481	2570.08785242453	5.34321798840859	NA	0.172415731028	NA
Total	499	14906.3419973387	NA	NA	1	NA
