	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3933.65362677441	983.413406693603	192.56387958784	0.267132613335359	0.001
Ethnicity	9	6059.30962556966	673.256625063296	131.831543883758	0.411484937125439	0.001
EducationLevel	4	1668.66125669419	417.165314173546	81.6858614901581	0.113318020488169	0.001
GeoRegion	1	607.405569212184	607.405569212184	118.937134774288	0.0412486335740631	0.001
Residuals	481	2456.44120606663	5.1069463743589	NA	0.16681579547697	NA
Total	499	14725.4712843171	NA	NA	1	NA
