	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4115.01268364901	1028.75317091225	192.600515946522	0.268980076305059	0.001
Ethnicity	9	6005.02988288476	667.225542542751	124.916245587342	0.392522094167686	0.001
EducationLevel	4	2041.41771055682	510.354427639205	95.5472399581911	0.133438395885855	0.001
GeoRegion	1	567.912398676175	567.912398676175	106.323094878497	0.0371219075308045	0.001
Residuals	481	2569.20534598251	5.34138325568088	NA	0.167937526110596	NA
Total	499	15298.5780217493	NA	NA	1	NA
