	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	5335.2462856232	1333.8115714058	267.072726377201	0.319481349986017	0.001
Ethnicity	9	6700.09945495365	744.455494994849	149.064352849487	0.401210497944076	0.001
EducationLevel	4	1716.76438471583	429.191096178958	85.938102990456	0.102802040219754	0.001
GeoRegion	1	545.396369501424	545.396369501424	109.206201596715	0.0326590299824246	0.001
Residuals	481	2402.20472733736	4.994188622323	NA	0.143847081867728	NA
Total	499	16699.7112221315	NA	NA	1	NA
