	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4205.03919513845	1051.25979878461	206.384575598546	0.293285375093385	0.001
Ethnicity	9	5827.09390216273	647.454878018081	127.109112679337	0.406417477101282	0.001
EducationLevel	4	1295.21111319512	323.80277829878	63.5693470387485	0.0903360134187869	0.001
GeoRegion	1	560.294173036573	560.294173036573	109.997619281343	0.0390783721806091	0.001
Residuals	481	2450.06663772678	5.09369363352761	NA	0.170882762205937	NA
Total	499	14337.7050212596	NA	NA	1	NA
