	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3845.30934927507	961.327337318766	180.653340451413	0.263484456289202	0.001
Ethnicity	9	5734.73159995657	637.192399995175	119.741664572274	0.392949565387743	0.001
EducationLevel	4	1903.75687549526	475.939218873815	89.4388481463529	0.130447331978964	0.001
GeoRegion	1	550.677622834859	550.677622834859	103.483744001731	0.0377329834518066	0.001
Residuals	481	2559.5898093824	5.32139253509854	NA	0.175385662892284	NA
Total	499	14594.0652569442	NA	NA	1	NA
