	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3855.90972446649	963.977431116622	187.521248021875	0.266661238993131	0.001
Ethnicity	9	5684.2949589432	631.588328771466	122.862037869585	0.393105971059509	0.001
EducationLevel	4	1878.98139309819	469.745348274548	91.3789380513587	0.129943785548021	0.001
GeoRegion	1	568.126475127392	568.126475127392	110.516887855716	0.0392896412488579	0.001
Residuals	481	2472.64322981151	5.14063041540855	NA	0.170999363150481	NA
Total	499	14459.9557814468	NA	NA	1	NA
