	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4105.54809879402	1026.38702469851	197.011056944824	0.269542384101367	0.001
Ethnicity	9	6180.17628187716	686.686253541906	131.806795433244	0.405748370034494	0.001
EducationLevel	4	1902.67820194961	475.669550487403	91.3029477603927	0.124916918859591	0.001
GeoRegion	1	537.235749232115	537.235749232115	103.120343727897	0.0352712478791918	0.001
Residuals	481	2505.91091960005	5.20979401164251	NA	0.164521079125356	NA
Total	499	15231.549251453	NA	NA	1	NA
