	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4325.95653856075	1081.48913464019	201.544578373953	0.283171818832747	0.001
Ethnicity	9	6102.08940926769	678.009934363077	126.352842555391	0.399435302065532	0.001
EducationLevel	4	1527.79371709558	381.948429273896	71.1792959105522	0.100007506274008	0.001
GeoRegion	1	739.902575727325	739.902575727325	137.887055806972	0.0484331167592933	0.001
Residuals	481	2581.04821255345	5.36600459990323	NA	0.16895225606842	NA
Total	499	15276.7904532048	NA	NA	1	NA
