	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	2765.91309285985	691.478273214963	127.65669615864	0.199481097770395	0.001
Ethnicity	9	5699.76687805376	633.307430894862	116.91753365564	0.411074287476578	0.001
EducationLevel	4	2196.98882364109	549.247205910272	101.398823935388	0.158449570762208	0.001
GeoRegion	1	597.437336054969	597.437336054969	110.295405418888	0.043087924907301	0.001
Residuals	481	2605.4336311749	5.41670193591455	NA	0.187907119083518	NA
Total	499	13865.5397617846	NA	NA	1	NA
