	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4044.38592838916	1011.09648209729	186.891757913861	0.271965180950382	0.001
Ethnicity	9	6006.14501178761	667.349445754179	123.353323118217	0.403883888399256	0.001
EducationLevel	4	1808.0602151445	452.015053786124	83.5507683998534	0.12158320998234	0.001
GeoRegion	1	410.137339774776	410.137339774776	75.8100634052515	0.02757973096568	0.001
Residuals	481	2602.24106893441	5.41006459237923	NA	0.174987989702343	NA
Total	499	14870.9695640304	NA	NA	1	NA
