	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4689.01025593294	1172.25256398323	224.166026252251	0.303412918893442	0.001
Ethnicity	9	5652.04194357413	628.004660397126	120.091278547318	0.365728042850439	0.001
EducationLevel	4	1996.95810635558	499.239526588896	95.467942883585	0.129217650396611	0.001
GeoRegion	1	600.871829661553	600.871829661553	114.902756010586	0.0388807585753897	0.001
Residuals	481	2515.33870989639	5.229394407269	NA	0.162760629284118	NA
Total	499	15454.2208454206	NA	NA	1	NA
