	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4332.11075225864	1083.02768806466	203.152537424602	0.299240197114928	0.001
Ethnicity	9	5246.6712387136	582.963470968178	109.35132098485	0.362413388173726	0.001
EducationLevel	4	1863.16481734967	465.791204337417	87.3723415513992	0.12869795789746	0.001
GeoRegion	1	470.826077339418	470.826077339418	88.3167746783074	0.0325222729166007	0.001
Residuals	481	2564.26193127143	5.33110588621918	NA	0.177126183897285	NA
Total	499	14477.0348169327	NA	NA	1	NA
