	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3886.60170332054	971.650425830135	194.350697804184	0.261952635771373	0.001
Ethnicity	9	5742.81155938656	638.090173265174	127.631571128195	0.387059117334914	0.001
EducationLevel	4	2233.48983842789	558.372459606971	111.686337261201	0.150534733117856	0.001
GeoRegion	1	569.391849620308	569.391849620308	113.89044902973	0.0383763779209346	0.001
Residuals	481	2404.74492813595	4.99946970506434	NA	0.162077135854922	NA
Total	499	14837.0398788912	NA	NA	1	NA
