	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4312.09760737675	1078.02440184419	194.453542248359	0.295753528898385	0.001
Ethnicity	9	5444.11962483387	604.902180537097	109.111975125954	0.373395441706868	0.001
EducationLevel	4	1555.63710575761	388.909276439404	70.1512751358096	0.106696370445328	0.001
GeoRegion	1	601.583786312918	601.583786312918	108.513404712924	0.0412607839455505	0.001
Residuals	481	2666.59959644644	5.54386610487826	NA	0.182893875003869	NA
Total	499	14580.0377207276	NA	NA	1	NA
