	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3284.43258878312	821.108147195781	163.046514371008	0.241139529651417	0.001
Ethnicity	9	5583.6121029494	620.401344772156	123.192392039519	0.409942831787584	0.001
EducationLevel	4	1719.19209048212	429.79802262053	85.3445063371417	0.126221245488521	0.001
GeoRegion	1	610.895079652646	610.895079652646	121.304743746519	0.044851263708957	0.001
Residuals	481	2422.3334078916	5.03603619104283	NA	0.17784512936352	NA
Total	499	13620.4652697589	NA	NA	1	NA
