	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3708.90920101042	927.227300252606	176.779250142271	0.274692362447797	0.001
Ethnicity	9	4948.47186623388	549.83020735932	104.827124628524	0.366497898377217	0.001
EducationLevel	4	1779.91927864493	444.979819661232	84.8370176619318	0.131825883330914	0.001
GeoRegion	1	541.846919611782	541.846919611782	103.305081844306	0.0401307237159305	0.001
Residuals	481	2522.89978072974	5.24511388925101	NA	0.186853132128141	NA
Total	499	13502.0470462308	NA	NA	1	NA
