	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3964.03591152935	991.008977882337	174.499370939268	0.262232222406817	0.001
Ethnicity	9	5868.6802155656	652.075579507289	114.819119673395	0.388229847021983	0.001
EducationLevel	4	2079.11357166551	519.778392916377	91.5238959646442	0.137539261677293	0.001
GeoRegion	1	473.00635378926	473.00635378926	83.2881568468522	0.0312907123282968	0.001
Residuals	481	2731.67356303711	5.67915501670916	NA	0.180707956565611	NA
Total	499	15116.5096155868	NA	NA	1	NA
