	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3792.79723972026	948.199309930066	200.347316669187	0.266049844338018	0.001
Ethnicity	9	5822.15251783296	646.905835314774	136.686292518514	0.408401154393349	0.001
EducationLevel	4	1732.1220809528	433.030520238199	91.4960619112705	0.12150156754647	0.001
GeoRegion	1	632.426983599096	632.426983599096	133.627021055955	0.0443622714073985	0.001
Residuals	481	2276.46606732171	4.73277768673952	NA	0.159685162314765	NA
Total	499	14255.9648894268	NA	NA	1	NA
