	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3858.42917236694	964.607293091735	184.13220293353	0.256409229006072	0.001
Ethnicity	9	5883.57193931962	653.730215479957	124.789420070338	0.390988684091162	0.001
EducationLevel	4	2223.61812948671	555.904532371678	106.115646128125	0.147768997360097	0.001
GeoRegion	1	562.516004632605	562.516004632605	107.37769853096	0.0373816101340905	0.001
Residuals	481	2519.79882163586	5.23866698884795	NA	0.167451479408578	NA
Total	499	15047.9340674417	NA	NA	1	NA
