	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4585.94908896735	1146.48727224184	214.587069785356	0.303451417306223	0.001
Ethnicity	9	5722.74931978255	635.861035531394	119.013581492758	0.378673281863073	0.001
EducationLevel	4	1590.01747393188	397.50436848297	74.4005622433512	0.105211167120683	0.001
GeoRegion	1	644.046741612026	644.046741612026	120.545693295912	0.0426164557787605	0.001
Residuals	481	2569.86769286673	5.34276027623021	NA	0.170047677931261	NA
Total	499	15112.6303171605	NA	NA	1	NA
