	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4974.9180206399	1243.72950515997	229.69692774674	0.327996085181581	0.001
Ethnicity	9	5485.05511648477	609.450568498308	112.555762822045	0.361629397258048	0.001
EducationLevel	4	1496.66662356375	374.166655890938	69.1025910110297	0.098675152296822	0.001
GeoRegion	1	606.525442881855	606.525442881855	112.015538951352	0.0399881907607163	0.001
Residuals	481	2604.44881805973	5.41465450740069	NA	0.171711174502833	NA
Total	499	15167.61402163	NA	NA	1	NA
