	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4155.4481491246	1038.86203728115	190.990406425976	0.271664607990152	0.001
Ethnicity	9	5857.55911713658	650.839901904065	119.654172471469	0.382941007619426	0.001
EducationLevel	4	2117.59564441187	529.398911102966	97.327758224417	0.138438928841404	0.001
GeoRegion	1	549.317914645721	549.317914645721	100.989783060927	0.0359119475418397	0.001
Residuals	481	2616.32324514636	5.43934146600075	NA	0.171043508007179	NA
Total	499	15296.2440704651	NA	NA	1	NA
