	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4048.47787725561	1012.1194693139	191.410608374637	0.275135231064688	0.001
Ethnicity	9	5913.53959204956	657.059954672174	124.262253099101	0.401885135944392	0.001
EducationLevel	4	1620.04931705537	405.012329263841	76.5953612138026	0.1100988215073	0.001
GeoRegion	1	589.057445270666	589.057445270666	111.401714308786	0.0400324421248372	0.001
Residuals	481	2543.37765745535	5.28768743753711	NA	0.172848369358784	NA
Total	499	14714.5018890866	NA	NA	1	NA
