	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3896.69966206061	974.174915515152	181.020695539971	0.271713992082242	0.001
Ethnicity	9	5719.01124871111	635.445694301234	118.078201078973	0.398782434345686	0.001
EducationLevel	4	1533.70157770509	383.425394426273	71.247915011267	0.106943879303419	0.001
GeoRegion	1	603.235459532667	603.235459532667	112.092911365135	0.0420631634690857	0.001
Residuals	481	2588.53349869778	5.38156652535922	NA	0.180496530799568	NA
Total	499	14341.1814467073	NA	NA	1	NA
