	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4352.66375293335	1088.16593823334	202.345122361494	0.284331418937256	0.001
Ethnicity	9	6185.27287543495	687.252541714995	127.79503085011	0.404043940219673	0.001
EducationLevel	4	1723.42764366458	430.856910916146	80.1181063442993	0.112580400227011	0.001
GeoRegion	1	460.343771184062	460.343771184062	85.6012060622104	0.0300712862489049	0.001
Residuals	481	2586.7083435555	5.37777202402391	NA	0.168972954367155	NA
Total	499	15308.4163867725	NA	NA	1	NA
