	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4235.35770096976	1058.83942524244	207.071834573432	0.29537272122666	0.001
Ethnicity	9	5563.767631757	618.196403528556	120.897522658873	0.388015676996678	0.001
EducationLevel	4	1613.69206900335	403.423017250839	78.8953851733967	0.112538456323126	0.001
GeoRegion	1	466.669067642235	466.669067642235	91.2640931869574	0.0325453768380021	0.001
Residuals	481	2459.54146584337	5.11339182088019	NA	0.171527768615535	NA
Total	499	14339.0279352157	NA	NA	1	NA
