	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4612.25332912209	1153.06333228052	229.970335806757	0.305373600277001	0.001
Ethnicity	9	6113.25595971418	679.250662190464	135.471746007183	0.404753782721664	0.001
EducationLevel	4	1429.34503162682	357.336257906705	71.2681922372867	0.094635790187398	0.001
GeoRegion	1	537.06959511873	537.06959511873	107.114736617958	0.0355589479062581	0.001
Residuals	481	2411.71741077501	5.01396551096676	NA	0.159677878907678	NA
Total	499	15103.6413263568	NA	NA	1	NA
