	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	3272.17025974077	818.042564935192	163.202097924722	0.234973117196439	0.001
Ethnicity	9	5757.10382622018	639.678202913354	127.617839446345	0.413415111283871	0.001
EducationLevel	4	1843.59350073604	460.898375184009	91.9506942356785	0.13238764407857	0.001
GeoRegion	1	641.865143286097	641.865143286097	128.054141018129	0.0460920555978716	0.001
Residuals	481	2410.98906654571	5.01245128179981	NA	0.173132071843248	NA
Total	499	13925.7217965288	NA	NA	1	NA
