	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	4639.96521075419	1159.99130268855	233.034544355413	0.30416893013106	0.001
Ethnicity	9	6402.14416189491	711.349351321657	142.905357633762	0.419687056220809	0.001
EducationLevel	4	1214.67729514469	303.669323786172	61.0051492103532	0.079627125751358	0.001
GeoRegion	1	603.474780211265	603.474780211265	121.234073143972	0.039560270372825	0.001
Residuals	481	2394.30517967424	4.97776544630819	NA	0.156956617523948	NA
Total	499	15254.5666276793	NA	NA	1	NA
