	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
IncomeGroup	4	5253.34375569733	1313.33593892433	252.816963061792	0.339381151512545	0.001
Ethnicity	9	5545.63426180835	616.181584645372	118.61485877881	0.358263960853274	0.001
EducationLevel	4	1598.0809369601	399.520234240024	76.9075826745635	0.103240635644216	0.001
GeoRegion	1	583.423089970453	583.423089970453	112.308853671714	0.037690813565825	0.001
Residuals	481	2498.70332659682	5.19480941080419	NA	0.161423438424141	NA
Total	499	15479.185371033	NA	NA	1	NA
